nutriscore,G_0,PMS_0.5,PMS_0.6,PMS_0.7,OMS_0.5,OMS_0.6,OMS_0.7,Decision Tree,kNN,Random Forest
d,d,b,e,e,e,e,e, d, d, d
d,d,a,e,e,e,e,e, d, c, d
a,b,a,a,a,e,e,e, a, a, a
b,c,a,b,e,e,e,e, b, a, a
b,b,a,a,a,e,e,e, b, b, b
a,b,a,a,e,c,e,e, a, a, a
c,c,a,a,a,c,e,e, c, a, b
c,b,b,e,e,c,e,e, c, c, c
b,c,a,e,e,e,e,e, a, b, b
b,b,a,a,e,c,c,e, d, b, b
a,b,e,e,e,e,e,e, a, a, a
c,c,a,b,b,c,e,e, c, d, c
a,b,a,a,e,e,e,e, a, a, a
a,c,e,e,e,e,e,e, a, b, a
a,c,e,e,e,e,e,e, a, b, a
a,b,a,a,e,e,e,e, a, a, a
d,c,a,b,b,c,c,c, c, b, d
a,b,a,a,e,e,e,e, b, b, a
a,b,e,e,e,e,e,e, a, a, a
b,c,e,e,e,e,e,e, b, b, b
b,c,e,e,e,e,e,e, b, b, b
c,d,e,e,e,e,e,e, c, a, c
b,c,e,e,e,e,e,e, b, b, b
a,b,a,a,e,c,e,e, a, a, a
b,c,e,e,e,e,e,e, b, a, b
a,c,e,e,e,e,e,e, a, a, a
b,c,e,e,e,e,e,e, b, b, b
d,c,b,e,e,c,e,e, b, b, b
c,b,a,a,a,e,e,e, a, b, a
c,c,a,b,b,c,e,e, c, d, d
b,b,a,a,a,e,e,e, b, b, b
a,b,a,a,e,e,e,e, a, a, a
b,d,e,e,e,e,e,e, b, b, b
e,c,e,e,e,e,e,e, e, b, e
b,c,e,e,e,e,e,e, b, a, a
e,c,e,e,e,e,e,e, b, a, e
b,b,a,a,a,e,e,e, b, b, b
b,c,a,e,e,a,e,e, c, a, b
c,d,e,e,e,e,e,e, c, a, c
e,c,e,e,e,e,e,e, e, b, e
c,b,a,a,a,c,c,c, c, a, e
b,c,e,e,e,e,e,e, b, b, b
a,b,a,a,a,e,e,e, a, a, a
a,b,a,e,e,e,e,e, a, a, a
b,c,e,e,e,e,e,e, b, a, b
a,c,e,e,e,e,e,e, a, b, a
a,c,e,e,e,e,e,e, a, b, b
b,b,b,e,e,e,e,e, a, b, b
e,e,e,e,e,e,e,e, e, c, e
b,c,a,e,e,e,e,e, d, a, b
