product_name;nutriscore_score;nutriscore_grade;energy;sugar_g;fat_g;sodium_mg;proteins_g;fibers_g;perc_fruit;assessment_pi_1;assessment_pi_2;assessment_pi_3;assessment_pi_4;Pes_classification_50;Pes_classification_60;Pes_classification_70;Opt_classification_50;Opt_classification_60;Opt_classification_70
KITKAT White barre au chocolat blanc, 8x41.5g;27;e;2154.0;48.8;14.5;0.3;8.3;0.7;0.0;0.4375;0.4375;0.25;0.0;e;e;e;e;e;e
Mandel Magic;2;b;1368.0;52.4;0.7;0.01;3.8;10.4;92.5;0.9375;0.8125;0.75;0.75;a;a;a;a;a;a
Galettes Potiron Butternut Carottes;-2;a;395.0;4.3;1.3;0.7;3.4;3.0;82.1102083333333;1.0;0.75;0.75;0.125;b;b;b;b;b;b
Knusprige Salz Tortilla Chips;6;c;2013.0;0.6;2.1;0.9;7.8;6.0;0.0;0.875;0.875;0.4375;0.0625;c;c;c;c;c;c
Chocolat;1;b;210.0;4.9;1.1;0.08;1.5;1.0;0.0;0.625;0.625;0.625;0.3125;b;b;e;b;b;e
Gomme goût menthe eucalyptus;-3;a;814.0;0.0;0.2;0.0;0.0;44.7;0.045;0.75;0.75;0.75;0.6875;a;a;b;a;a;b
Tartines craquantes au blé complet;-2;a;1598.0;3.1;1.1;0.75;12.0;7.4;0.0;0.875;0.875;0.6875;0.1875;b;b;c;b;b;c
Yoğurt ve Mevsim Yeşillikli Patates Cipsi;11;d;2241.0;2.9;4.8;1.3;6.2;3.8;0.0;0.875;0.625;0.0625;0.0625;c;c;d;c;c;d
Tartines craquantes Sarrasin;-3;a;1532.0;1.0;0.7;0.57;11.0;4.5;0.0;0.875;0.875;0.5625;0.3125;b;c;c;b;c;c
Qualité & Prix Chocolate au lait suisse;25;e;2230.0;57.0;18.0;0.275;6.0;2.0;0.0;0.4375;0.3125;0.25;0.0;e;e;e;e;e;e
Crumpets nature;3;c;818.0;4.0;0.1;1.5;6.0;2.6;0.0;0.75;0.375;0.375;0.25;d;d;d;d;d;d
Chocolat noir tablette;21;e;2152.0;46.0;17.0;0.03;7.5;8.8;0.0;0.5625;0.5625;0.375;0.375;c;e;e;c;e;e
4 muffins citron & pavot;-2;a;962.0;9.2;0.3;0.9;9.7;4.0;2.308828125;0.875;0.75;0.375;0.25;c;c;c;c;c;c
Chocolat noir 100+;18;d;2741.0;0.0;40.0;0.01;8.7;0.0;0.0;0.5;0.4375;0.3125;0.3125;e;e;e;d;e;e
Pain au lait pur beurre;16;d;1499.0;15.0;7.9;1.1;8.8;2.8;1.7775;0.75;0.5;0.0;0.0;d;d;d;c;d;d
Noir Special 72 Chocolat extra noir;17;d;2450.0;27.0;28.0;0.025;8.0;11.0;0.0;0.625;0.5;0.375;0.375;d;d;e;c;d;e
La Gourmande 30g;10;c;2172.0;2.9;3.1;1.2;6.8;4.4;0.0;0.875;0.625;0.3125;0.0625;c;c;d;c;c;d
Crocantes chocolate;24;e;2111.0;41.0;14.0;0.68;5.1;4.0;0.0;0.5625;0.3125;0.25;0.0;d;e;e;d;e;e
Witte choco framboos vlaai;18;d;1355.0;21.0;15.0;0.18;2.72;0.2;3.00772804054054;0.5;0.375;0.25;0.25;e;e;e;d;e;e
Pastilles Eucalyptus Menthol sans sucre;2;b;980.0;0.5;0.0;0.0;0.0;0.0;0.0;0.625;0.625;0.625;0.5625;a;b;e;a;b;e
Malt loaf;-1;a;1321.0;20.7;0.8;0.5;9.5;4.8;14.1625;0.875;0.875;0.5625;0.25;b;c;c;b;c;c
Assortiment de recettes libanaises avec sauce sésame;0;b;990.0;2.2;2.8;1.3;8.0;4.9;27.37578125;0.875;0.875;0.375;0.0625;c;c;c;c;c;c
Love Corn maïs grillé au sel de mer;7;c;1828.0;0.7;1.3;1.5;7.4;7.0;0.0;0.875;0.625;0.4375;0.0625;c;c;d;c;c;d
Pringles Sour Cream and Onion;20;e;2170.0;2.2;13.2;1.7653;5.3;3.3;0.0;0.625;0.125;0.0625;0.0625;d;d;e;d;d;e
Coleslaw;1;b;457.0;5.5;0.6;0.8;1.0;2.0;76.0;0.75;0.75;0.75;0.25;b;b;b;b;b;b
Taillaule;10;c;1346.0;10.0;5.0;0.85000002384186;8.0;3.0;0.0;0.875;0.75;0.0625;0.0;c;c;c;c;c;c
Mix N 1;-2;a;2575.0;5.4;5.7;0.02;23.0;7.7;100.0;1.0;0.9375;0.6875;0.625;a;a;c;a;a;c
Kinder schokobons bonbons de chocolat au lait fourres lait et noisettes sachet;28;e;2401.0;52.2;21.2;0.28;8.3;0.0;0.0;0.4375;0.375;0.25;0.0;e;e;e;e;e;e
Friture chocolat au lait praliné;24;e;2261.0;52.0;17.0;0.14;7.9;2.7;10.3333333333333;0.4375;0.4375;0.25;0.25;e;e;e;e;e;e
Crunchips au sel fin;11;d;2209.0;0.1;3.0;1.425;6.0;3.5;0.0;0.875;0.375;0.3125;0.0625;d;d;d;d;d;d
Winegums suikervrij;2;b;895.0;0.4;0.2;0.1;0.1;0.0;0.0;0.625;0.625;0.625;0.5625;a;b;e;a;b;e
KITKAT Sachet d'oeufs 120g;26;e;2253.0;53.0;18.0;0.45;9.4;1.6;0.0;0.4375;0.4375;0.25;0.0;e;e;e;e;e;e
Barre daily carotte;-4;a;1642.0;10.6;2.0;0.3;13.3;10.3;72.8;1.0;1.0;0.9375;0.125;b;b;b;b;b;b
Biscuit the vert saveur mandarine;1;b;1742.0;13.0;3.2;0.2;8.9;4.7;12.84375;0.875;0.875;0.5625;0.25;b;c;c;b;c;c
Prestige Caramel ;25;e;2340.0;55.0;23.0;0.22;4.5;1.5;2.0;0.4375;0.3125;0.25;0.0;e;e;e;e;e;e
Macédoine de légumes;-5;a;152.0;1.2;0.1;0.67;3.5;3.0;66.6666666666667;1.0;0.75;0.75;0.375;b;b;b;b;b;b
Patates camperoles;8;c;2165.0;1.3;3.2;1.1;8.4;5.6;0.0;0.875;0.875;0.3125;0.0625;c;c;c;c;c;c
;1;b;1972.0;0.8;2.0;0.9;6.6;4.0;0.0;0.875;0.625;0.3125;0.0625;c;c;d;c;c;d
Kessel Chips Sweet Chili Style;13;d;2045.0;2.8;2.0;13.0;6.2;4.0;0.2;0.625;0.375;0.3125;0.0625;d;d;e;d;d;e
Patatas fritas;8;c;2282.0;0.6;4.2;0.9;6.4;4.9;6.44125;0.875;0.75;0.0625;0.0625;c;c;c;c;c;c
Pals barra crema de cacahuate;-8;a;795.0;20.0;2.0;0.0;12.0;10.0;20.0;0.875;0.875;0.6875;0.375;b;b;c;b;b;c
Ricola Menthe Pomme;2;b;990.0;0.0;0.0;0.0;0.0;0.0;0.4;0.625;0.625;0.625;0.5625;a;b;e;a;b;e
Tartines craquantes Multicéréales;-3;a;1603.0;0.6;0.5;0.5;9.6;4.7;0.0;0.875;0.875;0.5625;0.3125;b;c;c;b;c;c
BALATON® Ét;23;e;2104.0;42.1;13.7;0.19;5.2;2.4;0.0;0.4375;0.3125;0.25;0.25;e;e;e;e;e;e
biscuits avoine complete;0;b;1857.0;16.0;1.6;0.44;8.6;7.9;5.40516493055555;0.875;0.875;0.625;0.125;b;b;c;b;b;c
Chocolat lait Amandes & nougat;23;e;2345.0;45.0;18.0;0.25;10.0;3.0;15.375;0.5625;0.4375;0.25;0.0;d;e;e;d;e;e
Tortillas chips saveur chili;7;c;1979.0;4.0;2.0;1.3;6.6;4.0;0.138888888888886;0.875;0.625;0.3125;0.0;c;c;d;c;c;d
l’original lait;24;e;2201.0;55.0;18.0;0.33;7.8;3.3;0.0;0.5625;0.4375;0.25;0.0;d;e;e;d;e;e
1936 Antica Ricetta;6;c;1998.0;0.6;2.1;1.1;7.0;5.5;0.0;0.875;0.75;0.3125;0.0625;c;c;c;c;c;c
Waffel Eier;18;d;2185.0;31.1;16.9;0.18;4.8;5.2;0.0;0.625;0.4375;0.25;0.25;d;d;e;d;d;e
Biscuits Bio Sésame Spiruline;-1;a;1922.0;15.0;2.0;0.13;10.6;6.3;18.1;0.875;0.875;0.625;0.25;b;b;c;b;b;c
Tiramisu speculoos;12;d;1111.0;24.0;4.5;0.3;4.4;1.5;0.175000000000001;0.75;0.5625;0.3125;0.0;c;d;d;c;d;d
Pépites wasabi;11;d;1559.0;11.0;4.4;1.5;14.0;14.0;0.0;0.875;0.625;0.3125;0.125;c;c;d;c;c;d
Chips - à l'ancienne, nature;10;c;2308.0;0.7;3.4;1.3;5.0;4.7;0.0;0.875;0.75;0.3125;0.0625;c;c;c;c;c;c
Barra Trigo Avena Con Nuez y Almendra Caja Display;2;b;744.0;7.0;3.0;0.06;3.0;2.0;12.0;0.75;0.625;0.625;0.25;b;b;d;b;b;d
百草味抹茶味麻薯;5;c;1656.0;0.0;0.0;0.4275;1.0;0.0;0.0;0.625;0.625;0.5625;0.3125;b;c;e;b;c;e
Fines Gaufrettes framboise;10;c;1532.0;39.0;0.3;0.21;4.0;2.0;18.903515625;0.6875;0.5625;0.5;0.25;c;d;e;b;d;e
Protifast barres Crousti' noisette;9;c;1495.0;2.5;7.9;0.8;34.2;28.0;9.71500000000001;0.875;0.625;0.5625;0.3125;b;c;d;b;c;d
Galettes suédoises aux flocons d'avoine;25;e;2061.0;41.0;12.0;0.85;5.1;2.9;1.375;0.4375;0.3125;0.0;0.0;e;e;e;e;e;e
Organic Rice Cakes Mini;-5;a;1674.0;0.0;0.0;0.0;7.0;7.0;0.0;0.875;0.75;0.6875;0.5625;a;b;c;a;b;c
Tranches de cake abricots secs et müesli;13;d;1683.0;24.0;2.9;0.9;5.5;2.4;20.5;0.75;0.5625;0.25;0.0;c;d;d;c;d;d
Chocolat au lait intense - 42%;23;e;2369.0;39.0;24.0;0.27;9.30000019073486;3.59999990463257;0.0;0.5625;0.375;0.25;0.0;d;e;e;d;e;e
Nature of nuts;-3;a;2217.0;18.0;3.7;0.01;21.0;11.0;100.0;1.0;1.0;0.875;0.625;a;a;b;a;a;b
Chocolat 64% Cacao;18;d;2303.0;33.0;24.5;0.02;7.0;11.3;0.0;0.625;0.4375;0.375;0.375;d;d;e;d;d;e
Pâte d'amande tricolore (26%);15;d;1789.0;66.3;1.0;0.01;5.3;0.0;26.0;0.6875;0.5625;0.5;0.5;c;d;e;a;d;e
Triangles goût ratatouille;12;d;1992.0;1.7;2.0;3.8;4.8;4.5;0.0;0.625;0.5;0.3125;0.0625;d;d;e;c;d;e
Eucalyptus;10;e;986.0;0.0;0.0;0.0;0.0;0.0;0.0;0.625;0.625;0.625;0.5625;a;b;e;a;b;e
Craquant chocolat noisettes;16;d;1866.0;24.0;13.5;0.07;7.3;4.0;20.0;0.625;0.4375;0.25;0.25;d;d;e;d;d;e
Croustillants Goût bacon;11;d;2038.0;2.6;1.9;1.6;6.4;3.0;0.0;0.875;0.375;0.3125;0.0625;d;d;d;d;d;d
Les délicieux sablés aux pommes;22;e;2081.0;32.0;15.0;0.4;5.2;2.4;5.0;0.5;0.3125;0.25;0.0;e;e;e;d;e;e
Chips BIO à base de pois chiche - Paprika - 110g;-1;a;1811.0;2.5;1.6;0.73;13.5;5.5;9.088125;0.875;0.875;0.6875;0.0625;b;b;c;b;b;c
Fruchtriegel Birne, pflaume & brombeere;1;b;1539.0;26.0;1.1;0.04;6.6;6.9;8.33333333333333;0.875;0.6875;0.625;0.25;b;b;d;b;b;d
Galletas Digestive Sésamo 0% azúcares;-4;a;1764.0;0.5;1.9;0.1;8.6;8.0;0.0;0.875;0.875;0.6875;0.4375;b;b;c;b;b;c
Tortilla Chips Nature;1;b;1979.0;0.8;2.0;0.9;6.6;4.0;0.0;0.875;0.625;0.3125;0.0625;c;c;d;c;c;d
Vanille-Kipferl Nr. 6;18;d;2238.0;23.0;10.0;0.16;5.0;2.8;24.8333333333333;0.75;0.375;0.25;0.25;d;d;d;d;d;d
Bella sun luci, premium california sun dried tomatoes halves;-2;a;136.0;28.57;0.0;0.625;14.29;7.1;0.0;0.875;0.8125;0.8125;0.3125;b;b;b;b;b;b
Barres céréalières Goût Chocolat - banane;14;d;1710.0;30.0;5.4;0.28;5.8;3.4;6.0;0.875;0.5625;0.25;0.0;c;d;d;c;d;d
Feuilletés apéritif;14;d;1122.0;2.2;8.8;0.91;6.3;1.3;26.9;0.75;0.375;0.125;0.0625;d;d;d;d;d;d
Lacasitos Chocolate con Leche;25;e;2033.0;69.0;12.0;0.18;6.0;1.6;0.0;0.4375;0.3125;0.25;0.25;e;e;e;e;e;e
15 Broyés du Poitou;23;e;2168.0;26.0;18.0;0.63;6.0;0.5;0.0;0.5;0.3125;0.25;0.0;e;e;e;d;e;e
Chocolat noir corsé pâtissier;20;e;2351.0;37.0;25.0;0.0;7.0;9.0;0.0;0.5625;0.375;0.375;0.375;d;e;e;d;e;e
Barquettes Abricot;13;d;1468.0;58.0;0.6;0.1;4.0;1.7;27.0;0.6875;0.5625;0.5;0.5;c;d;e;a;d;e
Mints peppermint;2;b;993.0;0.0;0.3;0.0;0.0;0.3;0.0;0.625;0.625;0.625;0.5625;a;b;e;a;b;e
Torreznos;27;e;2644.0;0.0;15.9;3.0;46.3;0.0;0.0;0.25;0.1875;0.1875;0.1875;e;e;e;e;e;e
Carottes râpées bio;-4;a;369.0;3.6;0.9;0.6;0.7;2.0;85.3225053894797;0.75;0.75;0.75;0.375;b;b;b;b;b;b
LiberIGPistacchi tostati senza sale aggiunto;-3;a;2543.0;4.5;5.6;0.0;18.1;10.6;100.0;1.0;0.9375;0.6875;0.625;a;a;c;a;a;c
Cocktail edamame y soja;-2;a;1768.0;3.0;1.8;1.6;39.0;20.5;0.0;0.875;0.625;0.5625;0.3125;b;c;d;b;c;d
Parle-G;18;d;1901.0;25.5;6.0;0.74;6.9;0.0;0.0;0.75;0.5625;0.25;0.0;c;d;d;c;d;d
Polvorones de Estepa;20;e;2144.0;30.0;9.0;0.1;7.9;0.8;12.1;0.75;0.4375;0.25;0.25;d;d;d;d;d;d
Crackers;10;c;1651.0;7.0;1.0;1.9175;10.0;3.5;0.0;0.875;0.5;0.3125;0.25;d;d;d;c;d;d
Marabou Bär, granola & yoghurt;25;e;2226.0;57.0;18.0;0.34;4.7;2.3;0.03;0.4375;0.3125;0.25;0.0;e;e;e;e;e;e
flap jack chocolate bar;16;d;2014.0;22.0;22.0;0.4;7.0;7.0;0.0;0.625;0.5;0.375;0.0;d;d;e;c;d;e
Dégustation Sel de mer d'Anglesey;6;c;1980.0;0.5;1.7;1.2;6.8;5.0;5.5;0.875;0.75;0.3125;0.0625;c;c;c;c;c;c
Roter Beerenmix Fruchtchips;-1;a;1187.0;42.0;0.2;0.0;6.2;19.0;100.0;0.9375;0.8125;0.8125;0.75;a;a;a;a;a;a
Veritable Kouign Amann Breton;23;e;2065.0;27.0;20.0;0.68;3.9;1.0;0.0;0.5;0.3125;0.25;0.0;e;e;e;d;e;e
CHOCAPIC barres de céréales;1;b;423.0;5.6;1.5;0.1;1.9;1.5;0.0;0.625;0.625;0.625;0.25;b;b;e;b;b;e
La Cremeria;9;c;847.0;22.0;4.7;0.1;2.3;0.2;0.0;0.625;0.625;0.3125;0.25;c;c;e;c;c;e
PORTION 2CAROTTE/2COLESLAW;-1;a;435.0;5.75;0.5;0.93;1.05;2.6;173.171875;0.75;0.75;0.5;0.375;c;c;c;b;c;c
Mars;24;e;1885.0;61.7;8.3;0.425;4.0;0.0;0.0;0.6875;0.3125;0.25;0.0;d;d;e;d;d;e
Gâteau au fromage blanc;1;b;700.0;21.3;1.6;0.11;6.9;0.0;60.15625;0.875;0.75;0.5625;0.25;b;c;c;b;c;c
Tack;27;e;2440.0;52.0;23.0;0.34;4.2;1.2;0.0;0.4375;0.25;0.25;0.0;e;e;e;e;e;e
Cookies Maxi pépites chocolat;21;e;2136.0;32.0;11.0;0.75;6.6;5.1;0.0;0.625;0.4375;0.25;0.0;d;d;e;d;d;e
Smokey paprika and almonds;10;c;2160.0;3.6;2.7;1.3;4.5;3.1;0.439453125;0.875;0.625;0.3125;0.0;c;c;d;c;c;d
Pistaches grillées salées;1;b;2470.0;5.9;6.0;0.88;26.0;6.5;100.0;1.0;0.9375;0.4375;0.25;c;c;c;c;c;c
Cuore di cereale. Biscotti di avena con frutti rossi;9;c;1826.0;26.0;2.3;0.53;8.0;8.0;1.45;0.875;0.8125;0.625;0.125;b;b;c;b;b;c
Goûters Fourrés Parfum Vanille;21;e;1995.0;34.6;8.5;0.6;5.3;1.8;0.0;0.6875;0.3125;0.25;0.0;d;d;e;d;d;e
Galettes Bretonnes pur beurre;24;e;2093.0;31.0;13.0;0.75;6.0;1.0;0.0;0.5;0.3125;0.25;0.0;e;e;e;d;e;e
Tartines Ki'Kroc;-3;a;1511.0;5.0;0.7;0.575;13.5;5.3;0.0;0.875;0.875;0.6875;0.25;b;b;c;b;b;c
Tangy Cheese Tortilla Chips;9;c;2084.0;2.7;3.4;1.19;6.5;6.7;0.0;0.875;0.75;0.4375;0.0625;c;c;c;c;c;c
yummy beans;-4;a;1350.0;1.71;2.57;0.21;11.7;11.1;0.0;0.875;0.875;0.6875;0.1875;b;b;c;b;b;c
Chocolate con Leche;27;e;2204.0;59.0;17.0;0.26;5.9;0.0;0.0;0.4375;0.3125;0.25;0.0;e;e;e;e;e;e
Ciocco biscotti;21;e;2063.0;36.0;14.0;0.58;6.5;4.7;0.0;0.5625;0.4375;0.25;0.0;d;e;e;d;e;e
Pain d'Épices bonhomme écharpe;3;c;1240.0;35.0;0.3;0.0;5.7;4.4;6.78214285714286;0.8125;0.5625;0.5625;0.5;b;d;d;a;d;d
Flamegrilled aberdeen angus Potato Chips;12;d;2120.0;2.7;2.6;1.4;7.0;2.7;0.0;0.75;0.625;0.3125;0.0625;c;c;d;c;c;d
Bon Bon Bum Watermelon/Sandía;14;d;1579.0;65.0;0.0;0.0;0.0;0.0;0.0;0.5625;0.5625;0.5;0.5;c;e;e;a;e;e
Turrón de chocolate con almendras;22;e;2317.0;50.0;15.0;0.3;8.6;8.4;20.0;0.5625;0.5625;0.375;0.125;c;e;e;c;e;e
;9;c;2244.0;2.7;3.5;1.2;6.4;4.8;0.0;0.875;0.75;0.3125;0.0625;c;c;c;c;c;c
Garfitos;17;d;2072.0;1.5;2.9;2.6;6.0;1.4;0.0;0.5;0.375;0.3125;0.0625;e;e;e;d;e;e
6 Tortillas;1;b;1291.0;3.9;1.0;1.6;9.0;3.8;0.0;0.875;0.5;0.375;0.25;d;d;d;c;d;d
Barquettes chocolat-noisettes;17;d;2036.0;47.0;2.9;0.34;6.5;2.6;22.5;0.6875;0.5625;0.5;0.0;c;d;e;b;d;e
Brossard - lot2 mini brownie chocolat noisettes x8;10;c;1874.0;26.0;5.5;0.37;5.9;7.5;46.26;1.0;0.6875;0.375;0.125;c;c;d;c;c;d
Lt2 p'tit savane rigolo chocolat 150g;2;b;1715.0;0.0;2.4;0.5;5.0;4.6;22.525;0.875;0.75;0.5625;0.0625;b;c;c;b;c;c
Pure Chocolade 75%;15;d;2240.0;21.0;25.0;0.0;9.5;15.0;0.0;0.625;0.625;0.375;0.375;c;c;e;c;c;e
Saveur cassis;0;b;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.625;0.625;0.625;0.625;a;a;e;a;a;e
Protein Cookies & Cream Bars;2;b;2000.0;17.3;0.3;0.6025;25.9;3.6;35.0;0.875;0.75;0.625;0.375;b;b;c;b;b;c
Aldi “Village Bakery”;-3;a;983.0;3.9000000953674;0.5;0.79;9.3000001907349;3.4;0.0;0.875;0.75;0.625;0.25;b;b;c;b;b;c
Ekin;19;e;2020.0;24.3;10.3;0.0917;6.0;2.67;0.0;0.5;0.3125;0.25;0.25;e;e;e;d;e;e
Wasabi Crackers Mitsuba;14;d;1796.0;3.9;3.2;1.5;6.8;0.9;0.0;0.75;0.375;0.3125;0.0;d;d;d;d;d;d
Müsliriegel ohne Zuckerzusatz - Weiße Schoko;2;b;1529.0;1.5;4.8;0.4;5.9;4.3;0.0;0.875;0.625;0.3125;0.0625;c;c;d;c;c;d
Meiji Hello Panda strawberry;25;e;2339.0;29.4;15.9;0.705;5.1;0.7;0.4;0.5;0.3125;0.25;0.0;e;e;e;d;e;e
Blue Tortilla chips;6;c;1987.0;0.5;2.4;1.0;6.8;7.3;0.0;0.875;0.75;0.4375;0.0625;c;c;c;c;c;c
Blévita Graines de Courge;13;d;1906.0;1.8;2.0;1.6;15.0;0.7;10.0;0.75;0.5;0.4375;0.0625;d;d;d;c;d;d
Waffel-Körbli;23;e;2030.0;41.0;15.0;0.41;7.0;3.5;0.0;0.5625;0.3125;0.25;0.0;d;e;e;d;e;e
Galettes bretonnes;24;e;2154.0;30.0;17.0;0.88;6.0;1.6;0.0;0.5;0.3125;0.0;0.0;e;e;e;d;e;e
Papas receta original;9;c;2264.0;0.5;3.8;1.25;6.9;76.0;0.0;0.875;0.75;0.4375;0.1875;c;c;c;c;c;c
;0;b;1792.0;3.6;1.6;0.72;8.5;4.0;0.0;0.875;0.75;0.5625;0.0;b;c;c;b;c;c
Florbu Waffers, Butterkeks;12;d;1909.0;2.5;11.0;0.07;4.3;3.0;0.0;0.625;0.375;0.3125;0.3125;d;d;e;d;d;e
BAR Mixed nuts;-4;a;1941.0;10.71;0.0;0.0;14.29;10.71;45.0;1.0;0.875;0.8125;0.625;a;a;b;a;a;b
Tartines craquantes sésame jardin bio;-3;a;1579.0;8.3;0.3;0.53;17.0;6.1;0.0;0.875;0.875;0.8125;0.375;b;b;b;b;b;b
Coleslaw (400 g + 200 g Gratuits);1;b;477.0;5.0;0.7;0.79;1.0;2.0;72.0;0.75;0.75;0.75;0.25;b;b;b;b;b;b
Vitalité Cranberries, noix de cajou, noix de pécan;2;b;2155.0;36.0;4.9;0.02;9.1;7.2;117.75;0.9375;0.9375;0.5;0.375;c;c;c;b;c;c
Mix - semillas y frutas;0;b;711.0;13.0;6.6;0.0;23.0;7.0;0.0;0.875;0.875;0.625;0.375;b;b;c;b;b;c
Noix de coco - Chocolat noir 70%;17;d;2290.0;29.5;30.0;0.01;6.2;9.4;5.46875;0.625;0.4375;0.375;0.375;d;d;e;d;d;e
Cigarettes gourmandes;23;e;2218.0;35.0;16.0;0.35;5.4;1.1;1.3671875;0.4375;0.3125;0.25;0.0;e;e;e;e;e;e
Patatas fritas sartén lisas sabor trufa;9;c;2199.0;1.4;3.5;1.02;5.8;4.0;0.0;0.875;0.625;0.3125;0.0625;c;c;d;c;c;d
