product_name;nutriscore_score;nutriscore_grade;energy;sugar_g;fat_g;sodium_mg;proteins_g;fibers_g;perc_fruit;assessment_pi_1;assessment_pi_2;assessment_pi_3;assessment_pi_4;Pes_classification_50;Pes_classification_60;Pes_classification_70;Opt_classification_50;Opt_classification_60;Opt_classification_70
Les Aides Pâtissières – Pâte d'amande;13;d;1758.0;72.4;1.1;0.06;3.6;2.0;50.3125;0.8125;0.5625;0.5;0.25;c;d;d;b;d;d
Colfiorito Snack Pronto Da Mangiare;-2;a;2007.0;20.0;2.0;0.0;15.0;10.0;70.0;1.0;1.0;0.875;0.375;b;b;b;b;b;b
Goldschatz Schokolade;26;e;2383.0;45.0;24.0;0.16;7.4;0.1;0.0;0.4375;0.375;0.25;0.25;e;e;e;e;e;e
Popped Chips Lentil;-2;a;1778.0;3.1;1.5;0.384;10.0;4.3;12.6302083333333;0.875;0.75;0.5625;0.0625;b;c;c;b;c;c
Principe crema de chocolate;16;d;1969.0;32.0;5.6;0.49;6.2;3.1;8.625;0.875;0.5625;0.25;0.0;c;d;d;c;d;d
BodyMe Organic Vegan Protein Bar Cacao Orange;12;d;1785.0;26.1;6.2;0.57;26.8;5.4;57.2851851851852;1.0;0.9375;0.375;0.125;c;c;c;c;c;c
Figuritas de mazapan;11;d;2064.0;51.0;2.0;0.0;9.3;6.7;50.0;0.9375;0.8125;0.625;0.25;b;b;c;b;b;c
Beignet pomme;1;b;1306.0;12.0;1.2;0.7;6.1;12.7;15.4490234375;0.875;0.75;0.75;0.125;b;b;b;b;b;b
Pocket porridge;0;b;1632.0;19.0;1.4;0.01;6.5;13.0;0.0;0.875;0.75;0.625;0.375;b;b;c;b;b;c
Pretzal pieces jalapeño flavour;15;d;1898.0;6.2;1.6;2.7;6.5;2.1;0.0;0.5;0.375;0.3125;0.0;e;e;e;d;e;e
Meringue de la Gruyère;15;d;1683.0;94.0;0.0;0.0;5.0;0.0;0.0;0.6875;0.5625;0.5;0.5;c;d;e;a;d;e
Wasabi-nori-chips;9;c;2173.0;2.5;2.4;1.2;6.4;4.1;0.0;0.875;0.625;0.3125;0.0625;c;c;d;c;c;d
Au Lait du Pays Alpin (lot de 3);26;e;2220.0;58.0;17.5;0.43;6.4;1.8;0.694444444444443;0.4375;0.3125;0.25;0.0;e;e;e;e;e;e
Sunbites Palomitas sabor Cheddar Blanco;6;c;1690.0;3.33;1.67;1.19;10.0;13.3;0.0;0.875;0.875;0.4375;0.1875;c;c;c;c;c;c
Tendre cœur chocolat;22;e;1739.0;31.0;15.0;0.85;5.6;2.5;0.0;0.5;0.3125;0.0;0.0;e;e;e;d;e;e
Gaufrettes aux légumes betterave oignon;0;b;1668.0;14.0;0.7;0.9;12.0;5.7;15.6;0.875;0.875;0.25;0.25;c;c;c;c;c;c
Craquelins natures recette originale x 20;-4;a;1618.0;2.1;1.08;0.25;15.5;4.9;0.0;0.875;0.875;0.6875;0.0625;b;b;c;b;b;c
Mini cake framboise;5;c;1367.0;1.5;1.7;0.86;4.5;1.1;24.46875;0.75;0.625;0.3125;0.0625;c;c;d;c;c;d
Chips à l'ancienne Nature;7;c;2312.0;0.5;3.0;1.1;5.9;5.5;0.0;0.875;0.75;0.3125;0.0625;c;c;c;c;c;c
Snacks poppés aux légumineuses saveur fromage poivre fumé;-2;a;1770.0;1.5;1.7;0.49;9.9;8.7;12.18;0.875;0.875;0.6875;0.1875;b;b;c;b;b;c
Protein Knabbermix;14;d;1888.0;8.0;4.0;3.2;38.0;15.0;28.0;0.625;0.625;0.5625;0.25;b;c;e;b;c;e
Chips saveur paprika;10;c;2149.0;3.5;2.4;1.4;6.1;4.2;0.0;0.875;0.625;0.3125;0.0;c;c;d;c;c;d
Biscuits Epeautre et Sésame;12;d;2051.0;22.0;4.3;0.46;9.4;4.5;0.64875;0.875;0.875;0.25;0.0;c;c;c;c;c;c
Cookies Premium Maxi Pépites de Chocolats;23;e;2068.0;37.0;8.9;1.1;5.2;3.2;8.41666666666667;0.8125;0.3125;0.0;0.0;d;d;d;d;d;d
Kichererbsen Chips;9;c;1811.0;5.8;0.9;1.9;13.0;4.8;0.02288818359375;0.875;0.625;0.4375;0.25;c;c;d;c;c;d
Sweet & Salty;2;b;1990.0;35.0;4.1;0.4;14.0;6.2;93.0;0.9375;0.9375;0.625;0.125;b;b;c;b;b;c
;-1;a;1030.0;0.0;1.43;0.226;1.9;18.1;0.0;0.75;0.75;0.75;0.1875;b;b;b;b;b;b
Noten & Granen Repen Amandel & Havermout;0;b;1741.0;8.5;4.2;0.03;11.0;24.0;24.0;0.875;0.875;0.4375;0.375;c;c;c;c;c;c
Classic fondente 75g;22;e;2091.0;25.0;21.0;0.35;8.2;0.0;0.0;0.5;0.4375;0.25;0.0;e;e;e;d;e;e
;-3;a;1642.0;11.0;1.3;0.05;8.1;25.0;3.9;0.875;0.875;0.6875;0.375;b;b;c;b;b;c
Sušenky bez cukru jablko;6;c;1813.0;11.0;4.3;0.05;8.0;10.0;7.0;0.875;0.875;0.4375;0.375;c;c;c;c;c;c
Bloc lait amandes caramélisées pointe de sel;25;e;2213.0;51.0;14.0;0.78;8.9;4.4;15.0;0.5625;0.4375;0.25;0.0;d;e;e;d;e;e
Breakfast Biscuits - Cranberry;7;c;1600.0;19.7;1.4;0.76708;8.0;6.4;7.5;0.875;0.875;0.625;0.0;b;b;c;b;b;c
